moisture,temp,ts,SG,API_Gravity,Density
2864,30.3125,1726555747924,0.6993894993894993,70.81930865921788,699.3894993894993
2870,30.3125,1726555750007,0.7008547008547008,70.39634146341464,700.8547008547008
2871,30.3125,1726555752097,0.701098901098901,70.32601880877743,701.098901098901
2856,30.3125,1726555754178,0.6974358974358974,71.38602941176472,697.4358974358973
2864,30.3125,1726555756286,0.6993894993894993,70.81930865921788,699.3894993894993
2834,30.3125,1726555758368,0.692063492063492,72.96100917431193,692.063492063492
2864,30.3125,1726555760451,0.6993894993894993,70.81930865921788,699.3894993894993
2864,30.3125,1726555762537,0.6993894993894993,70.81930865921788,699.3894993894993
1284,30.3125,1726555764618,0.31355311355311355,319.7792056074766,313.5531135531136
1342,30.3125,1726555766700,0.3277167277167277,300.2753353204173,327.71672771672775
1354,30.3125,1726555768783,0.33064713064713064,296.448670605613,330.64713064713067
1296,30.3125,1726555770866,0.31648351648351647,315.60069444444446,316.4835164835165
2914,30.3125,1726555772946,0.7115995115995116,67.34780370624571,711.5995115995116
1322,30.3125,1726555775032,0.32283272283272285,306.8074886535552,322.8327228327229
1235,30.25,1726555777113,0.30158730158730157,337.68421052631584,301.58730158730157
1355,30.3125,1726555779199,0.3308913308913309,296.1328413284133,330.8913308913309
1236,30.3125,1726555781282,0.3018315018315018,337.30461165048547,301.83150183150184
1488,30.3125,1726555783371,0.36336996336996336,257.9102822580645,363.36996336996333
2705,30.3125,1726555785454,0.6605616605616605,82.71164510166358,660.5616605616606
2864,30.3125,1726555787540,0.6993894993894993,70.81930865921788,699.3894993894993
1201,30.3125,1726555789622,0.2932844932844933,350.96669442131554,293.2844932844933
2863,30.3125,1726555791705,0.6991452991452991,70.88997555012227,699.1452991452991
1535,30.3125,1726555793788,0.37484737484737485,245.98697068403908,374.84737484737485
1344,30.3125,1726555796163,0.3282051282051282,299.6328125,328.20512820512823
1362,30.3125,1726555798246,0.3326007326007326,293.93502202643174,332.6007326007326
1363,30.3125,1726555800329,0.33284493284493283,293.6228906823184,332.8449328449328
1383,30.3125,1726555802410,0.33772893772893775,287.47505422993487,337.72893772893775
1280,30.3125,1726555804495,0.3125763125763126,321.189453125,312.5763125763126
1233,30.3125,1726555806577,0.3010989010989011,338.44525547445255,301.0989010989011
1233,30.3125,1726555808664,0.3010989010989011,338.44525547445255,301.0989010989011
1223,30.3125,1726555810746,0.29865689865689865,342.28781684382665,298.65689865689865
1231,30.3125,1726555812828,0.3006105006105006,339.20877335499597,300.6105006105006
1216,30.3125,1726555814911,0.29694749694749695,345.0152138157895,296.947496947497
1184,30.3125,1726555816995,0.28913308913308916,357.89400337837833,289.1330891330892
1179,30.3125,1726555819077,0.2879120879120879,359.969465648855,287.9120879120879
1168,30.3125,1726555821161,0.2852258852258852,364.59803082191786,285.22588522588524
1165,30.3125,1726555823252,0.2844932844932845,365.8755364806867,284.4932844932845
1193,30.3125,1726555825335,0.29133089133089135,354.2020117351215,291.33089133089135
1168,30.3125,1726555827420,0.2852258852258852,364.59803082191786,285.22588522588524
1165,30.3125,1726555829505,0.2844932844932845,365.8755364806867,284.4932844932845
1189,30.3125,1726555831586,0.2903540903540904,355.8359966358284,290.3540903540904
1187,30.3125,1726555833668,0.2898656898656899,356.6571187868576,289.8656898656899
1159,30.3125,1726555835759,0.283028083028083,368.45038826574637,283.028083028083
1179,30.3125,1726555837848,0.2879120879120879,359.969465648855,287.9120879120879
1180,30.3125,1726555839930,0.28815628815628813,359.55296610169495,288.15628815628816
1169,30.3125,1726555842011,0.28547008547008546,364.1736526946108,285.47008547008545
1168,30.3125,1726555844093,0.2852258852258852,364.59803082191786,285.22588522588524
1168,30.3125,1726555846175,0.2852258852258852,364.59803082191786,285.22588522588524
1173,30.3125,1726555848260,0.28644688644688643,362.4833759590793,286.4468864468864
1185,30.3125,1726555850342,0.2893772893772894,357.4810126582278,289.3772893772894
1147,30.3125,1726555852426,0.2800976800976801,373.68090671316475,280.0976800976801
1171,30.3125,1726555854512,0.28595848595848594,363.3270708795901,285.95848595848594
1184,30.3125,1726555856595,0.28913308913308916,357.89400337837833,289.1330891330892
1188,30.3125,1726555858679,0.29010989010989013,356.24621212121207,290.10989010989016
1155,30.25,1726555860764,0.28205128205128205,370.1818181818182,282.05128205128204
1162,30.25,1726555862845,0.28376068376068375,367.1596385542169,283.7606837606838
1210,30.3125,1726555864930,0.2954822954822955,347.3780991735537,295.4822954822955
1274,30.3125,1726555867016,0.3111111111111111,323.32142857142856,311.11111111111114
1786,30.3125,1726555869098,0.43614163614163615,192.9358902575588,436.1416361416361
2864,30.3125,1726555871181,0.6993894993894993,70.81930865921788,699.3894993894993
1322,30.3125,1726555873266,0.32283272283272285,306.8074886535552,322.8327228327229
1431,30.3125,1726555875350,0.34945054945054943,273.4213836477988,349.45054945054943
1245,30.3125,1726555877432,0.304029304029304,333.9156626506024,304.029304029304
1216,30.3125,1726555879514,0.29694749694749695,345.0152138157895,296.947496947497
1219,30.3125,1726555881596,0.2976800976800977,343.84249384741594,297.6800976800977
1216,30.3125,1726555883679,0.29694749694749695,345.0152138157895,296.947496947497
1231,30.3125,1726555885777,0.3006105006105006,339.20877335499597,300.6105006105006
1202,30.3125,1726555887858,0.29352869352869354,350.5653078202995,293.52869352869357
1265,30.3125,1726555889941,0.3089133089133089,326.5573122529644,308.9133089133089
1363,30.25,1726555892024,0.33284493284493283,293.6228906823184,332.8449328449328
2890,30.3125,1726555894113,0.7057387057387058,68.99913494809687,705.7387057387058
