temp,Density,API_Gravity
30.3125,699.3894993894993,70.81930865921788
30.3125,700.8547008547008,70.39634146341464
30.3125,701.098901098901,70.32601880877743
30.3125,697.4358974358973,71.38602941176472
30.3125,699.3894993894993,70.81930865921788
30.3125,692.063492063492,72.96100917431193
30.3125,699.3894993894993,70.81930865921788
30.3125,699.3894993894993,70.81930865921788
30.3125,313.5531135531136,319.7792056074766
30.3125,327.71672771672775,300.2753353204173
30.3125,330.64713064713067,296.448670605613
30.3125,316.4835164835165,315.60069444444446
30.3125,711.5995115995116,67.34780370624571
30.3125,322.8327228327229,306.8074886535552
30.25,301.58730158730157,337.68421052631584
30.3125,330.8913308913309,296.1328413284133
30.3125,301.83150183150184,337.30461165048547
30.3125,363.36996336996333,257.9102822580645
30.3125,660.5616605616606,82.71164510166358
30.3125,699.3894993894993,70.81930865921788
30.3125,293.2844932844933,350.96669442131554
30.3125,699.1452991452991,70.88997555012227
30.3125,374.84737484737485,245.98697068403908
30.3125,328.20512820512823,299.6328125
30.3125,332.6007326007326,293.93502202643174
30.3125,332.8449328449328,293.6228906823184
30.3125,337.72893772893775,287.47505422993487
30.3125,312.5763125763126,321.189453125
30.3125,301.0989010989011,338.44525547445255
30.3125,301.0989010989011,338.44525547445255
30.3125,298.65689865689865,342.28781684382665
30.3125,300.6105006105006,339.20877335499597
30.3125,296.947496947497,345.0152138157895
30.3125,289.1330891330892,357.89400337837833
30.3125,287.9120879120879,359.969465648855
30.3125,285.22588522588524,364.59803082191786
30.3125,284.4932844932845,365.8755364806867
30.3125,291.33089133089135,354.2020117351215
30.3125,285.22588522588524,364.59803082191786
30.3125,284.4932844932845,365.8755364806867
30.3125,290.3540903540904,355.8359966358284
30.3125,289.8656898656899,356.6571187868576
30.3125,283.028083028083,368.45038826574637
30.3125,287.9120879120879,359.969465648855
30.3125,288.15628815628816,359.55296610169495
30.3125,285.47008547008545,364.1736526946108
30.3125,285.22588522588524,364.59803082191786
30.3125,285.22588522588524,364.59803082191786
30.3125,286.4468864468864,362.4833759590793
30.3125,289.3772893772894,357.4810126582278
30.3125,280.0976800976801,373.68090671316475
30.3125,285.95848595848594,363.3270708795901
30.3125,289.1330891330892,357.89400337837833
30.3125,290.10989010989016,356.24621212121207
30.25,282.05128205128204,370.1818181818182
30.25,283.7606837606838,367.1596385542169
30.3125,295.4822954822955,347.3780991735537
30.3125,311.11111111111114,323.32142857142856
30.3125,436.1416361416361,192.9358902575588
30.3125,699.3894993894993,70.81930865921788
30.3125,322.8327228327229,306.8074886535552
30.3125,349.45054945054943,273.4213836477988
30.3125,304.029304029304,333.9156626506024
30.3125,296.947496947497,345.0152138157895
30.3125,297.6800976800977,343.84249384741594
30.3125,296.947496947497,345.0152138157895
30.3125,300.6105006105006,339.20877335499597
30.3125,293.52869352869357,350.5653078202995
30.3125,308.9133089133089,326.5573122529644
30.25,332.8449328449328,293.6228906823184
30.3125,705.7387057387058,68.99913494809687
30.3125,700.1221001221,70.60760376700384
30.3125,697.6800976800977,71.31501575078755
30.3125,698.1684981684981,71.1731374606506
30.3125,699.3894993894993,70.81930865921788
30.3125,698.9010989010989,70.9606918238994
30.3125,698.1684981684981,71.1731374606506
30.3125,696.4590964590964,71.67058204768585
30.3125,699.1452991452991,70.88997555012227
30.25,696.2148962148962,71.74184496667837
30.3125,698.6568986568986,71.03145753233136
30.25,699.3894993894993,70.81930865921788
30.25,695.4822954822954,71.95593398876406
30.25,280.0976800976801,373.68090671316475
30.25,317.94871794871796,313.5403225806452
30.3125,283.028083028083,368.45038826574637
30.3125,278.14407814407815,377.2291483757682
30.25,279.1208791208791,375.4488188976378
30.3125,276.1904761904762,380.8275862068965
30.25,277.41147741147745,378.5726232394366
30.3125,278.14407814407815,377.2291483757682
30.3125,277.41147741147745,378.5726232394366
30.25,279.1208791208791,375.4488188976378
30.3125,280.0976800976801,373.68090671316475
30.25,279.6092796092796,374.5633187772926
30.25,283.028083028083,368.45038826574637
30.25,276.6788766788767,379.92321270962043
30.3125,277.41147741147745,378.5726232394366
30.3125,277.89987789987794,377.6761862917399
30.3125,283.5164835164835,367.58914728682174
30.25,694.993894993895,72.09891075193255
30.3125,697.6800976800977,71.31501575078755
30.3125,698.6568986568986,71.03145753233136
30.3125,699.6336996336996,70.74869109947645
30.3125,701.8315018315018,70.11534446764094
30.3125,698.9010989010989,70.9606918238994
30.25,698.1684981684981,71.1731374606506
30.25,699.3894993894993,70.81930865921788
30.3125,700.6105006105006,70.46671314046708
30.3125,700.1221001221,70.60760376700384
30.25,698.1684981684981,71.1731374606506
30.25,698.6568986568986,71.03145753233136
30.3125,698.6568986568986,71.03145753233136
30.3125,699.3894993894993,70.81930865921788
30.25,697.9242979242979,71.24405178446466
30.3125,699.6336996336996,70.74869109947645
30.25,703.2967032967033,69.69531249999997
30.3125,698.6568986568986,71.03145753233136
30.25,700.6105006105006,70.46671314046708
30.3125,696.9474969474969,71.5282060266293
30.3125,698.6568986568986,71.03145753233136
30.3125,698.1684981684981,71.1731374606506
30.3125,700.1221001221,70.60760376700384
30.25,700.8547008547008,70.39634146341464
30.25,696.7032967032967,71.59936908517352
30.25,699.3894993894993,70.81930865921788
30.3125,699.3894993894993,70.81930865921788
30.25,697.1916971916971,71.45709281961473
30.3125,700.8547008547008,70.39634146341464
30.25,696.9474969474969,71.5282060266293
30.25,695.4822954822954,71.95593398876406
30.25,698.1684981684981,71.1731374606506
30.3125,698.9010989010989,70.9606918238994
30.25,699.3894993894993,70.81930865921788
30.3125,699.3894993894993,70.81930865921788
